tas,rlut,rsut,rsdt,pr,clt,tos
13.3501,238.276,102.878,341.568,1081.14,0.623187,17.8163
13.383,238.596,103.157,341.568,1081.49,0.624671,17.7779
13.3605,238.714,103.071,341.568,1084.74,0.624129,17.8064
13.4505,238.707,102.541,341.568,1081.07,0.62258,17.9335
13.4567,238.871,102.906,341.568,1083.44,0.623213,17.8506
13.288,238.287,102.753,341.568,1080.08,0.619686,17.8207
13.5463,238.965,103.116,341.568,1087.77,0.624517,17.9811
13.4808,239.145,103.677,341.568,1086.11,0.627217,17.8415
13.1004,237.479,103.421,341.568,1074.98,0.624338,17.6259
13.2279,238.113,102.866,341.568,1078.15,0.621079,17.8149
13.4566,238.932,103.124,341.568,1086.24,0.624075,17.9594
13.3158,238.461,103.114,341.568,1077.63,0.621583,17.8201
13.3784,238.653,103.074,341.568,1083.38,0.620292,17.835
13.4177,238.671,103.199,341.568,1082.77,0.624495,17.7921
13.3494,238.328,103.006,341.568,1078.59,0.623699,17.8172
13.4743,238.97,103.533,341.568,1085.87,0.625082,17.8305
13.2226,238.097,103.396,341.568,1080.62,0.625633,17.7039
13.3617,238.396,102.907,341.568,1079.29,0.622384,17.8243
13.2834,238.451,103.562,341.568,1085.75,0.626197,17.7803
13.3285,238.629,103.407,341.568,1082.15,0.62492,17.7737
13.4398,238.637,102.85,341.568,1078.67,0.622318,17.9056
13.4889,238.829,103.755,341.568,1084.08,0.629256,17.9374
13.2659,238.207,103.62,341.568,1080.88,0.624516,17.7177
13.2881,238.264,103.191,341.568,1083.0,0.624207,17.7449
13.148,238.065,103.439,341.568,1077.13,0.624491,17.6394
13.2092,238.296,103.112,341.568,1080.88,0.623546,17.693
13.1779,238.347,103.474,341.568,1080.97,0.622026,17.6927
13.1537,237.923,103.424,341.568,1075.62,0.624936,17.6251
13.2743,238.523,102.997,341.568,1078.42,0.62039,17.729
13.2456,238.399,102.944,341.568,1078.55,0.62165,17.7756
13.2903,238.315,103.108,341.568,1082.14,0.621877,17.7857
13.2882,238.429,103.266,341.568,1082.99,0.625785,17.7908
13.3293,238.678,103.23,341.568,1082.42,0.623491,17.7787
13.3973,238.267,102.605,341.568,1077.61,0.621746,17.8326
13.5219,238.96,102.632,341.568,1084.59,0.622371,17.9643
13.4658,239.051,102.941,341.568,1082.73,0.622879,17.8758
13.31,238.521,103.045,341.568,1081.42,0.623487,17.7739
13.3445,238.379,103.086,341.568,1083.14,0.624162,17.8165
13.5001,239.043,102.95,341.568,1079.63,0.624041,17.8305
13.3715,238.577,103.364,341.568,1089.32,0.62296,17.8723
13.3158,238.319,102.774,341.568,1078.46,0.62096,17.8197
13.311,238.495,103.515,341.568,1084.57,0.624581,17.829
13.3694,238.65,103.27,341.568,1085.15,0.622759,17.8474
13.2986,238.744,103.433,341.568,1085.24,0.624025,17.8102
