CO2,GHG Other,O3 (Trop),O3 (Strat),Aerosol (Total),LUC,H2O (Strat),BC Snow,Contrails,Solar,Volcano
0.355,0.13,0.091,0.0,-0.274,-0.062,0.015,0.031,0.0,0.011,-0.8
0.362,0.134,0.092,0.0,-0.276,-0.063,0.016,0.032,0.0,-0.016,-0.325
0.369,0.138,0.092,0.0,-0.278,-0.063,0.016,0.032,0.0,0.028,-0.175
0.376,0.141,0.093,0.0,-0.28,-0.064,0.016,0.033,0.0,-0.001,-0.225
0.383,0.145,0.094,0.0,-0.282,-0.064,0.017,0.033,0.0,0.02,-0.25
0.389,0.148,0.095,-0.001,-0.284,-0.065,0.017,0.034,0.0,-0.002,-0.1
0.395,0.151,0.096,-0.001,-0.286,-0.065,0.017,0.035,0.0,-0.006,-0.075
0.4,0.155,0.097,-0.001,-0.288,-0.066,0.018,0.035,0.0,-0.032,-0.05
0.406,0.159,0.098,-0.001,-0.289,-0.066,0.018,0.035,0.0,-0.045,-0.475
0.412,0.163,0.1,-0.001,-0.29,-0.067,0.019,0.035,0.0,-0.042,-0.6
0.419,0.167,0.101,-0.001,-0.291,-0.068,0.019,0.035,0.0,-0.033,-0.25
0.427,0.171,0.102,-0.001,-0.292,-0.068,0.019,0.035,0.0,0.013,-0.1
0.436,0.175,0.103,-0.001,-0.293,-0.069,0.02,0.035,0.0,0.068,-0.075
0.445,0.18,0.104,-0.001,-0.294,-0.069,0.02,0.035,0.0,0.086,-0.05
0.453,0.185,0.105,-0.001,-0.296,-0.07,0.021,0.035,0.0,0.121,-0.05
0.46,0.189,0.107,-0.002,-0.297,-0.071,0.021,0.035,0.0,0.073,-0.05
0.466,0.193,0.108,-0.001,-0.298,-0.071,0.022,0.035,0.0,0.039,-0.225
0.472,0.196,0.109,-0.001,-0.302,-0.072,0.022,0.036,0.0,0.012,-0.2
0.476,0.199,0.11,-0.002,-0.305,-0.073,0.022,0.036,0.0,-0.013,-0.075
0.481,0.201,0.111,-0.002,-0.309,-0.073,0.023,0.036,0.0,-0.025,-0.025
0.486,0.203,0.113,-0.002,-0.313,-0.074,0.023,0.036,0.0,-0.029,-0.075
0.491,0.205,0.114,-0.002,-0.317,-0.075,0.024,0.036,0.0,-0.015,-0.075
0.497,0.207,0.115,-0.002,-0.321,-0.076,0.024,0.036,0.0,0.02,-0.05
0.503,0.21,0.116,-0.002,-0.325,-0.076,0.025,0.036,0.0,0.063,-0.05
0.51,0.214,0.117,-0.002,-0.328,-0.077,0.025,0.037,0.0,0.033,-0.125
0.517,0.218,0.119,-0.002,-0.332,-0.078,0.025,0.037,0.0,0.028,-0.25
0.523,0.222,0.12,-0.003,-0.336,-0.079,0.026,0.037,0.0,0.048,-0.15
0.53,0.226,0.122,-0.003,-0.338,-0.08,0.026,0.037,0.0,0.009,-0.125
0.536,0.23,0.124,-0.003,-0.34,-0.081,0.027,0.038,0.0,-0.016,-0.2
0.542,0.234,0.126,-0.003,-0.341,-0.081,0.027,0.038,0.0,-0.029,-0.175
0.548,0.237,0.128,-0.003,-0.343,-0.082,0.027,0.039,0.0,-0.027,-0.1
0.555,0.241,0.13,-0.003,-0.345,-0.083,0.028,0.039,0.0,-0.008,-0.1
0.563,0.244,0.133,-0.003,-0.347,-0.084,0.028,0.04,0.0,0.068,-0.075
0.57,0.247,0.135,-0.003,-0.349,-0.085,0.029,0.04,0.0,0.089,-0.075
0.577,0.251,0.137,-0.003,-0.35,-0.086,0.029,0.04,0.0,0.08,-0.125
0.584,0.254,0.139,-0.004,-0.352,-0.087,0.029,0.041,0.0,0.094,-0.1
0.59,0.257,0.141,-0.004,-0.354,-0.088,0.03,0.041,0.0,0.07,-0.075
0.595,0.261,0.143,-0.004,-0.358,-0.089,0.03,0.042,0.0,0.057,-0.05
0.598,0.264,0.146,-0.004,-0.362,-0.09,0.03,0.042,0.0,0.03,-0.1
0.599,0.267,0.148,-0.004,-0.366,-0.092,0.031,0.043,0.0,-0.005,-0.1
0.599,0.27,0.15,-0.004,-0.37,-0.093,0.031,0.043,0.001,-0.011,-0.05
0.599,0.273,0.152,-0.004,-0.374,-0.094,0.032,0.043,0.001,0.019,-0.05
0.599,0.276,0.154,-0.005,-0.378,-0.095,0.032,0.044,0.001,0.025,-0.05
0.598,0.279,0.156,-0.005,-0.382,-0.096,0.032,0.044,0.002,0.093,-0.05
0.598,0.283,0.158,-0.005,-0.386,-0.097,0.033,0.045,0.002,0.146,-0.05
0.601,0.287,0.161,-0.005,-0.39,-0.099,0.033,0.045,0.002,0.123,-0.075
0.604,0.291,0.163,-0.005,-0.394,-0.1,0.034,0.046,0.002,0.11,-0.075
0.608,0.296,0.168,-0.005,-0.409,-0.102,0.034,0.046,0.002,0.037,-0.05
0.615,0.302,0.173,-0.006,-0.424,-0.103,0.035,0.047,0.002,0.045,-0.1
0.623,0.308,0.178,-0.006,-0.439,-0.105,0.036,0.047,0.003,0.025,-0.075
