CO2,CH4,N2O,FGAS,ODS,OC,BC,SOX,NOX,BBAER,DUST,CLOUD,O3S,O3T,H2OS,LCC,BCSNOW,VOLC,SOLAR
3.06939,0.508302,0.254345,0.0785219,0.197119,-0.036521,0.145559,-0.165056,-0.0736113,0.0586982,-0.1,-0.528475,0.0,0.332429,0.0870071,-0.226371,0.0722827,0.0,0.025655
3.09542,0.507411,0.256119,0.0791109,0.192482,-0.0362522,0.143945,-0.161606,-0.0726999,0.0582993,-0.1,-0.52438,0.0,0.330262,0.0868534,-0.226681,0.0714665,0.0,0.0725287
3.12042,0.506368,0.25787,0.0796599,0.187972,-0.0359834,0.142331,-0.158155,-0.0717886,0.0579003,-0.1,-0.520253,0.0,0.328057,0.0866736,-0.226983,0.0706504,0.0,0.146252
3.14442,0.505168,0.259599,0.0801691,0.183587,-0.0357146,0.140717,-0.154705,-0.0708772,0.0575013,-0.1,-0.516094,0.0,0.325812,0.0864668,-0.227275,0.0698342,0.0,0.181191
3.16768,0.503843,0.261305,0.0806414,0.179335,-0.0354457,0.139103,-0.151254,-0.0699658,0.0571024,-0.1,-0.511902,0.0,0.323535,0.0862383,-0.227559,0.0690181,0.0,0.190562
3.19033,0.502417,0.262989,0.0810792,0.175217,-0.0351769,0.137489,-0.147804,-0.0690545,0.0567034,-0.1,-0.507676,0.0,0.321233,0.0859926,-0.227834,0.0682019,0.0,0.174151
3.21242,0.500914,0.264651,0.0814851,0.171235,-0.0349081,0.135875,-0.144353,-0.0681431,0.0563044,-0.1,-0.503416,0.0,0.318911,0.0857335,-0.2281,0.0673857,0.0,0.130187
3.23397,0.499356,0.266291,0.0818616,0.167388,-0.0346393,0.134261,-0.140903,-0.0672318,0.0559055,-0.1,-0.499121,0.0,0.316575,0.0854649,-0.228357,0.0665696,0.0,0.0860781
3.25492,0.49775,0.26791,0.0822104,0.163675,-0.0343633,0.132632,-0.13758,-0.0663318,0.0554462,-0.1,-0.494827,0.0,0.314226,0.0851882,-0.228605,0.0657471,0.0,0.0592681
3.27515,0.496095,0.269508,0.0825322,0.160091,-0.0340728,0.130972,-0.134512,-0.0654546,0.0548664,-0.1,-0.490571,0.0,0.311864,0.0849028,-0.228843,0.0649118,0.0,0.0431769
3.29449,0.49436,0.271082,0.0828438,0.156632,-0.0337751,0.129298,-0.131571,-0.0645888,0.0542264,-0.1,-0.486318,0.0,0.309487,0.0846038,-0.22907,0.0640702,0.0,0.0322656
3.31277,0.492524,0.272632,0.0831607,0.153291,-0.0334774,0.127623,-0.128631,-0.063723,0.0535864,-0.1,-0.48203,0.0,0.307088,0.0842874,-0.229285,0.0632286,0.0,0.025655
3.33005,0.490593,0.274157,0.083482,0.150067,-0.0331797,0.125949,-0.12569,-0.0628572,0.0529463,-0.1,-0.477709,0.0,0.304664,0.0839546,-0.22949,0.062387,0.0,0.0725287
