NAmerica,S&CAmerica,Europe,NA&ME,Africa,FSU,China,S&SEAsia,PCDV
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.228,0.057,0.066,0.18,0.098,0.215,0.878,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.878,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.878,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.878,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.878,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.878,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.956,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.956,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.956,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.956,0.038
0.47,0.8204,0.057,0.091,0.25,0.098,0.215,0.956,0.038
0.47,0.0,0.057,0.091,0.35,0.098,0.215,0.956,0.038
0.47,0.0,0.057,0.091,0.35,0.098,0.215,0.956,0.038
0.47,0.0,0.057,0.091,0.35,0.148,0.215,0.716,0.038
0.47,0.0,0.057,0.091,0.35,0.148,0.312,0.716,0.038
0.47,0.0,0.057,0.091,0.35,0.148,0.312,0.716,0.038
0.47,0.0,0.057,0.091,0.35,0.148,0.312,0.744,0.038
0.47,0.0,0.057,0.091,0.35,0.148,0.312,0.744,0.038
0.47,0.0,0.057,0.091,0.35,0.148,0.312,0.744,0.038
0.47,0.0,0.057,0.091,0.35,0.148,0.312,0.744,0.038
0.47,0.0,0.057,0.091,0.35,0.148,0.312,0.744,0.038
0.47,0.5856,0.057,0.091,0.45,0.148,0.312,0.744,0.038
0.47,0.5856,0.057,0.091,0.45,0.148,0.312,0.744,0.038
0.47,0.5856,0.057,0.091,0.45,0.148,0.312,0.744,0.038
0.47,0.5856,0.057,0.091,0.45,0.148,0.312,0.744,0.038
0.47,0.5856,0.057,0.091,0.45,0.148,0.312,0.744,0.038
0.47,0.5856,0.057,0.15,0.45,0.148,0.312,0.697,0.038
0.47,0.5856,0.057,0.15,0.45,0.148,0.312,0.697,0.038
0.47,0.5856,0.057,0.15,0.45,0.148,0.312,0.697,0.038
0.1,0.5856,0.057,0.15,0.45,0.148,0.312,0.697,0.038
0.1,0.5856,0.057,0.15,0.45,0.148,0.312,0.697,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.312,0.697,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.312,0.697,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.312,0.697,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.349,0.697,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.349,0.697,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.349,0.864,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.349,0.864,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.349,0.864,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.349,0.864,0.038
0.1,0.5437,0.057,0.15,0.55,0.148,0.349,0.864,0.038
0.1,0.2777,0.057,0.15,0.9,0.0,0.349,0.864,0.038
0.1,0.2777,0.057,0.15,0.9,0.0,0.349,0.864,0.038
0.1,0.2777,0.057,0.15,0.9,0.0,0.349,0.864,0.038
0.1,0.2777,0.057,0.15,0.9,0.0,0.349,0.864,0.038
0.1,0.2777,0.057,0.15,0.9,0.0,0.349,0.864,0.038
0.1,0.2777,0.057,0.15,0.9,0.0,0.349,1.698,0.038
0.1,0.2777,0.057,0.15,0.9,0.0,0.349,1.698,0.038
0.1,0.2777,0.057,0.15,0.9,0.0,0.349,1.698,0.038
0.1,0.2777,0.057,0.15,0.9,0.0,0.349,1.688,0.038
0.02,0.2777,0.057,0.15,0.9,0.0,0.349,1.688,0.038
0.02,0.6265,0.057,0.0,1.4,1.429,0.349,1.688,0.22
0.02,0.6265,0.057,0.0,1.4,1.429,0.349,1.688,0.22
0.02,0.6265,0.057,0.0,1.4,1.429,0.349,1.056,0.22
0.02,0.6265,0.057,0.0,1.4,1.429,0.349,1.056,0.22
0.02,0.6265,0.057,0.0,1.4,1.429,0.582,1.056,0.22
0.02,0.6265,0.057,0.0,1.4,1.429,0.582,1.056,0.22
0.02,0.6265,0.057,0.0,1.4,1.429,0.582,1.056,0.22
0.02,0.6265,0.057,0.0,1.4,1.429,0.582,1.204,0.22
0.02,0.6265,0.057,0.0,1.4,0.364,0.582,1.204,0.22
0.02,0.6265,0.057,0.0,1.4,0.364,0.582,1.204,0.22
0.02,1.656,0.0,0.0,2.2,0.364,0.582,1.204,0.22
0.02,1.656,0.0,0.0,2.2,0.364,0.582,1.204,0.22
0.02,1.656,0.0,0.0,2.2,0.364,0.582,1.156,0.22
0.02,1.656,0.0,0.0,2.2,0.364,0.582,1.156,0.22
0.02,1.656,0.0,0.0,2.2,0.364,0.582,1.156,0.22
0.02,1.656,0.0,0.0,2.2,0.364,0.577,1.156,0.22
0.02,1.656,0.0,0.0,2.2,0.364,0.577,1.156,0.22
